APIs,Count
asBinder,12779
attachInterface,16763
onExtraCallback,251
onCreate,15490
post,22226
getLooper,6208
subscribe,3375
unsubscribe,3637
setShuffleMode,437
getShuffleMode,427
setCaptioningEnabled,418
isCaptioningEnabled,418
removeQueueItemAt,426
removeQueueItem,426
addQueueItemAt,426
addQueueItem,426
setShuffleModeEnabledRemoved,404
setRepeatMode,3206
isShuffleModeEnabledRemoved,404
getRepeatMode,1884
prepareFromUri,1122
prepareFromSearch,1120
prepareFromMediaId,1123
prepare,3211
getRatingType,1143
getExtras,17018
getQueueTitle,1139
getQueue,2434
getPlaybackState,1589
getMetadata,1624
sendCustomAction,1162
rate,445
seekTo,3905
rewind,4312
fastForward,1168
previous,1992
next,10675
stop,10374
pause,6311
skipToQueueItem,1141
playFromUri,1148
playFromSearch,1142
playFromMediaId,1151
play,4147
setVolumeTo,1148
adjustVolume,1166
getVolumeAttributes,445
getFlags,10694
getLaunchPendingIntent,445
getTag,10456
getPackageName,11322
isTransportControlEnabled,445
unregisterCallbackListener,445
registerCallbackListener,445
sendMediaButton,445
sendCommand,1491
rateWithExtras,417
obtainMessage,14390
removeCallbacksAndMessages,4160
removeMessages,6537
sendMessageDelayed,3991
postToHandler,836
getRccStateFromState,418
buildRccMetadata,418
getCallingPid,1884
getCallingUid,3106
getWidth,51710
getHeight,48398
getContext,112624
setBackgroundDrawable,26081
getDefaultNightMode,476
getWindow,17197
dismiss,14421
onKeyDown,10307
onKeyUp,5367
setVariablePadding,445
setConstantSize,445
setEnterFadeDuration,905
setExitFadeDuration,912
getState,12745
extractStateSet,446
getCurrentIndex,1134
selectDrawable,1057
updateDensity,889
setAnchorView,2047
setPresenterCallback,938
getPopup,954
setForceShowIcon,516
show,19211
setClickable,13356
setFocusable,19140
setVisibility,42183
setEnabled,23716
getContentDescription,11201
setOnTouchListener,11566
playSoundEffect,6286
getDrawable,17999
getBackground,17595
getPaddingLeft,27496
getPaddingRight,27395
getPaddingTop,28857
getPaddingBottom,28254
setImageDrawable,5042
measure,9365
getMeasuredWidth,27020
getParent,35172
tryShow,476
setGravity,11923
isShowing,7755
getCallback,5589
setCallback,7720
setId,21690
removeCallbacks,15825
setCacheColorHint,1601
setPressed,4844
getFirstVisiblePosition,2832
getChildAt,27240
getItemIdAtPosition,1798
performItemClick,2986
getSelector,1656
refreshDrawableState,8806
getVisibility,25188
drawableHotspotChanged,4471
isPressed,3806
layoutChildren,1458
getDrawableState,14006
getAdapter,9436
getListPaddingTop,1930
getListPaddingBottom,1928
getListPaddingLeft,286
getListPaddingRight,285
getDividerHeight,1468
getDivider,1433
generateDefaultLayoutParams,3499
pointToPosition,2003
setSelection,12055
getSelectedItemPosition,5037
getTop,9171
setSelectionFromTop,1971
getCount,12985
getChildCount,29963
setAdapter,9712
setOnItemClickListener,7033
setFocusableInTouchMode,6551
setOnItemSelectedListener,4815
setOnScrollListener,2273
requestLayout,30684
getSelectedItem,1776
getSelectedItemId,2576
getSelectedView,2009
requestFocusFromTouch,1341
getChoiceMode,1413
setItemChecked,2477
isShown,6537
notifyDataSetChanged,10608
isSelected,5961
sendAccessibilityEvent,9878
addView,65029
removeView,14323
setLayoutParams,32637
setOnClickListener,21569
smoothScrollTo,1609
setHorizontalScrollBarEnabled,3869
setAlpha,19246
animate,6242
setFillViewport,1503
getLayoutParams,23418
getSuperState,10765
findViewById,37508
isInEditMode,13996
getResources,51854
isChildrenDrawingOrderEnabled,1373
getChildDrawingOrder,2443
setSystemUiVisibility,3564
getViewTreeObserver,9659
invalidate,31547
setMeasuredDimension,43758
measureChildWithMargins,3762
setWillNotDraw,13379
setBuilder,3431
applyStandardTemplate,952
buildIntoRemoteViews,939
createColoredBitmap,532
booleanNullToFalseEquals,968
applyInsetTypes,792
getDisplayCutout,1840
getTappableElementInsets,1683
getMandatorySystemGestureInsets,1760
getSystemGestureInsets,1704
getStableInsets,480
getLayoutInflater,5041
isFinishing,5034
getApplication,5065
getLastNonConfigurationInstance,1561
getMenuInflater,2509
isChangingConfigurations,2277
invalidateOptionsMenu,2655
onCreateContextMenu,1723
finish,23249
getApplicationContext,15678
getIntent,20896
dispatchTouchEvent,7317
closeOptionsMenu,1396
dispatchKeyEvent,10670
onMenuOpened,2806
onPostCreate,1973
onTitleChanged,1443
openOptionsMenu,1399
setTheme,4934
addAnimation,2084
getView,11749
notifyChildrenChangedForFramework,400
attachBaseContext,5241
getPackageManager,6539
makeMovementFlags,432
getProperties,2542
getPosition,7736
removeAndRecycleViewAt,441
getFocusedChild,2484
