App Name,App ID,Genre,Installs
Avakin Life - 3D仮想世界,com.lockwoodpublishing.avakinlife,ロールプレイング,"100,000,000+"
Avenza Maps：オフラインマッピング,com.Avenza,地図＆ナビ,"1,000,000+"
Avira Phantom VPN,com.avira.vpn,ツール,"1,000,000+"
Avira Security Antivirus & VPN,com.avira.android,ツール,"10,000,000+"
Awarefy - 認知行動療法アプリ,app.awarefy.awarefyapp,健康＆フィットネス,"100,000+"
B612 - いつもの毎日をもっと楽しく,com.linecorp.b612.android,写真,"500,000,000+"
BAND - グループのためのアプリ,com.nhn.android.band,ソーシャルネットワーク,"50,000,000+"
BBC News,bbc.mobile.news.ww,ニュース＆雑誌,"10,000,000+"
BBC Sounds: Radio & Podcasts,com.bbc.sounds,音楽＆オーディオ,"5,000,000+"
BBVA España | Banca Online,com.bbva.bbvacontigo,ファイナンス,"10,000,000+"
BBチャット - ビデオでチャットするライブチャットアプリ,jp.bbchat.chatapp,エンタメ,"10,000+"
BEAKER - Mix Chemicals,air.thix.sciencesense.beaker,教育,"1,000,000+"
BIGLOBE旅行  ホテル予約,jp.ne.biglobe.travel.hotel,旅行＆地域,"1,000,000+"
BLEACH Brave Souls ジャンプ アニメゲーム,com.klab.bleach,アクション,"10,000,000+"
BOOK WALKER - 人気の漫画や小説が続々登場,jp.bookwalker.kreader.android.epub,書籍＆参考書,"1,000,000+"
BUMP(バンプ)ショートドラマ見放題の動画配信アプリ,com.emole.bump,エンタメ,"10,000+"
BUYMA ファッション・ブランドの通販　服・買い物アプリ,com.buyma.buymaapp,ショッピング,"1,000,000+"
BYJU'S – The Learning App,com.byjus.thelearningapp,教育,"100,000,000+"
Babbel - Learn Languages,com.babbel.mobile.android.en,教育,"50,000,000+"
Babyプラス｜妊娠の悩みを解決！医師監修のコンテンツが満載,jp.babyplus.android,出産＆育児,"100,000+"
Backlog:チームで使うプロジェクト管理ツール,backlog.android,仕事効率化,"50,000+"
Badoo-デート、チャット、マッチングアプリ,com.badoo.mobile,出会い,"100,000,000+"
Balance: Meditation & Sleep,com.elevatelabs.geonosis,健康＆フィットネス,"1,000,000+"
Bamboo Paper,com.wacom.bamboopapertab,仕事効率化,"1,000,000+"
Banco Itaú: abrir conta online,com.itau,ファイナンス,"50,000,000+"
Bandsintown Concerts,com.bandsintown,音楽＆オーディオ,"10,000,000+"
Basecamp - Project Management,com.basecamp.bc3,仕事効率化,"1,000,000+"
BeFunky による写真エディタ,air.com.befunky.BeFunkyPhotoEditor,写真,"10,000,000+"
BeRealにて本物の友情を築こう。,com.bereal.ft,ソーシャルネットワーク,"10,000,000+"
Beauty Makeover- ファッション・メイクゲーム,makeup.salon.beauty.diy.artist.makeover,ミニゲーム,"500,000+"
BeautyPlus-可愛い自撮りカメラ、写真加工フィルター,com.commsource.beautyplus,写真,"100,000,000+"
Bedtime Stories for Kids Sleep,com.stanislau.bedtime.audio.stories.kids,出産＆育児,"100,000+"
BetterMe: 減量ワークアウト,com.gen.workoutme,健康＆フィットネス,"10,000,000+"
BetterSleep：睡眠トラッカー,ipnossoft.rma.free,健康＆フィットネス,"10,000,000+"
Between：カップルアプリ (Couple App),kr.co.vcnc.android.couple,ソーシャルネットワーク,"10,000,000+"
Beyond LIVE,com.beyondlive.apps,エンタメ,"100,000+"
Bimi Booロジックゲーム,com.bimiboo.coloringpuzzles,教育,"1,000,000+"
Bimi Boo幼児向けゲーム,com.bimiboo.playandlearn,教育,"10,000,000+"
"Binance: BTC, Crypto and NFTS",com.binance.dev,ファイナンス,"50,000,000+"
Biodynamic Gardening Calendar,com.xdesign.floris_books,ライフスタイル,"10,000+"
Bitwarden パスワードマネージャー,com.x8bit.bitwarden,仕事効率化,"1,000,000+"
BlackNote メモ帳 ノート メモ,notepad.note.notas.notes.notizen,仕事効率化,"5,000,000+"
BladeBound: RPG Adventure Game,com.artifexmundi.balefire,ロールプレイング,"1,000,000+"
Blink Home Monitor,com.immediasemi.android.blink,ツール,"5,000,000+"
Blinkist: Big Ideas in 15 Min,com.blinkslabs.blinkist.android,教育,"5,000,000+"
Block World 3D: クラフト＆ビルド,com.blockgamesstudio.blockworld3d,アーケード,"1,000,000+"
Blue Mail-メールカレンダー,me.bluemail.mail,仕事効率化,"10,000,000+"
Bluecoins-財務、予算、お金、経費トラッカー,com.rammigsoftware.bluecoins,ファイナンス,"1,000,000+"
Blynk IoT,cloud.blynk,ツール,"500,000+"
Board Kings:サイコロボードゲーム,com.jellybtn.boardkings,ボード,"50,000,000+"
BoligPortal,dk.boligportal.app,ライフスタイル,"100,000+"
Bolt Driver: Drive & Earn,ee.mtakso.driver,地図＆ナビ,"10,000,000+"
Bolt Food: Delivery & Takeaway,com.bolt.deliveryclient,フード＆ドリンク,"5,000,000+"
Bondee ボンディー,com.metadream.bondee,ソーシャルネットワーク,"5,000,000+"
BookBites Bibliotek,com.bookbites.library,ライブラリ＆デモ,"50,000+"
BookMyShow | Movies & Events,com.bt.bms,エンタメ,"50,000,000+"
Booking.com ホテル予約のブッキングドットコム,com.booking,旅行＆地域,"500,000,000+"
Bookiss,com.read.bookiss,書籍＆参考書,"10,000+"
Box,com.box.android,ビジネス,"10,000,000+"
Breathe: relax & focus,com.havabee.breathe,健康＆フィットネス,"500,000+"
Bring! Grocery Shopping List,ch.publisheria.bring,ショッピング,"5,000,000+"
Browsec：セキュア VPN、高速で安全なプロキシ,com.browsec.vpn,ツール,"5,000,000+"
