App Name,App ID,Genre,Installs,APK_file_name,Permission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avakin Life - 3D仮想世界,com.lockwoodpublishing.avakinlife,ロールプレイング,"100,000,000+",/mnt/c/users/ryutaro/downloads/com.lockwoodpublishing.avakinlife.apk,com.google.android.gms.permission.AD_ID,com.lockwoodpublishing.avakinlife.permission.RECEIVE_ADM_MESSAGE,android.permission.ACCESS_COARSE_LOCATION,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.VIBRATE,com.android.vending.BILLING,android.permission.POST_NOTIFICATIONS,com.singular.preinstall.READ_PERMISSION_SINGULAR,android.permission.RECORD_VIDEO,android.permission.WAKE_LOCK,android.permission.INTERNET,android.permission.READ_EXTERNAL_STORAGE,com.anddoes.launcher.permission.UPDATE_COUNT,android.permission.BROADCAST_STICKY,com.htc.launcher.permission.READ_SETTINGS,com.android.vending.CHECK_LICENSE,me.everything.badger.permission.BADGE_COUNT_READ,android.permission.FOREGROUND_SERVICE,com.huawei.android.launcher.permission.WRITE_SETTINGS,me.everything.badger.permission.BADGE_COUNT_WRITE,com.oppo.launcher.permission.READ_SETTINGS,android.hardware.camera.autofocus,android.permission.CAMERA,com.sonyericsson.home.permission.BROADCAST_BADGE,com.google.android.c2dm.permission.RECEIVE,com.amazon.device.messaging.permission.RECEIVE,com.sonymobile.home.permission.PROVIDER_INSERT_BADGE,com.oppo.launcher.permission.WRITE_SETTINGS,com.sec.android.provider.badge.permission.WRITE,com.huawei.android.launcher.permission.READ_SETTINGS,com.huawei.android.launcher.permission.CHANGE_BADGE,android.permission.READ_APP_BADGE,com.htc.launcher.permission.UPDATE_SHORTCUT,com.sec.android.provider.badge.permission.READ,android.permission.ACCESS_WIFI_STATE,com.applovin.array.apphub.permission.BIND_APPHUB_SERVICE,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.ACCESS_NETWORK_STATE,com.majeur.launcher.permission.UPDATE_BADGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avenza Maps：オフラインマッピング,com.Avenza,地図＆ナビ,"1,000,000+",/mnt/c/users/ryutaro/downloads/com.Avenza.apk,android.permission.ACCESS_BACKGROUND_LOCATION,android.permission.CAMERA,android.permission.WAKE_LOCK,com.google.android.gms.permission.AD_ID,android.permission.READ_EXTERNAL_STORAGE,android.permission.ACTION_MANAGE_OVERLAY_PERMISSION,android.permission.ACCESS_COARSE_LOCATION,android.permission.INTERNET,android.permission.ACCESS_WIFI_STATE,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.ACCESS_FINE_LOCATION,android.permission.VIBRATE,com.android.vending.BILLING,com.android.vending.CHECK_LICENSE,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.ACCESS_NETWORK_STATE,android.permission.FOREGROUND_SERVICE,android.permission.SYSTEM_ALERT_WINDOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avira Phantom VPN,com.avira.vpn,ツール,"1,000,000+",Avira Phantom VPN_ Fast VPN_3.9.4_Apkpure.apk,com.google.android.gms.permission.AD_ID,android.permission.WAKE_LOCK,android.permission.INTERNET,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.ACCESS_WIFI_STATE,android.permission.READ_EXTERNAL_STORAGE,com.google.android.c2dm.permission.RECEIVE,android.permission.READ_PHONE_STATE,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.ACCESS_FINE_LOCATION,com.android.vending.BILLING,android.permission.CHANGE_WIFI_STATE,android.permission.POST_NOTIFICATIONS,android.permission.ACCESS_NETWORK_STATE,android.permission.FOREGROUND_SERVICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avira Security Antivirus & VPN,com.avira.android,ツール,"10,000,000+",Avira Security Antivirus & VPN_7.20.0_Apkpure.apk,android.permission.ACCESS_COARSE_LOCATION,com.android.browser.permission.WRITE_HISTORY_BOOKMARKS,android.permission.USE_CREDENTIALS,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.READ_PHONE_STATE,android.permission.GET_ACCOUNTS,android.permission.VIBRATE,com.android.vending.BILLING,android.permission.DISABLE_KEYGUARD,android.permission.POST_NOTIFICATIONS,android.permission.SYSTEM_ALERT_WINDOW,android.permission.WAKE_LOCK,com.avira.android.permission.C2D_MESSAGE,com.android.browser.permission.READ_HISTORY_BOOKMARKS,android.permission.INTERNET,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.WRITE_CONTACTS,android.permission.QUERY_ALL_PACKAGES,android.permission.READ_EXTERNAL_STORAGE,com.avira.android.permission.INVOKE_INTERNAL_HANDLER,com.avira.android.permission.REMOTE_LOCK_SERVICE,android.permission.CLEAR_APP_CACHE,com.avira.optimizer.aviradata.READ,com.avira.android.permission.INVOKE_WIPE_FEATURES,android.permission.FOREGROUND_SERVICE,android.permission.READ_CONTACTS,android.permission.MANAGE_EXTERNAL_STORAGE,android.permission.CAMERA,android.permission.RECORD_AUDIO,com.google.android.c2dm.permission.RECEIVE,android.permission.MODIFY_AUDIO_SETTINGS,android.permission.REQUEST_DELETE_PACKAGES,android.permission.USE_FINGERPRINT,android.permission.ACCESS_BACKGROUND_LOCATION,android.permission.WHITELIST_AUTO_REVOKE_PERMISSIONS,android.permission.EXPAND_STATUS_BAR,android.permission.KILL_BACKGROUND_PROCESSES,android.permission.ACCESS_WIFI_STATE,android.permission.ACCESS_DOWNLOAD_MANAGER,android.permission.ACCESS_FINE_LOCATION,android.permission.GET_PACKAGE_SIZE,android.permission.CALL_PHONE,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.ACCESS_NETWORK_STATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Awarefy - 認知行動療法アプリ,app.awarefy.awarefyapp,健康＆フィットネス,"100,000+",/mnt/c/users/ryutaro/downloads/app.awarefy.awarefyapp.apk,com.google.android.gms.permission.AD_ID,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.VIBRATE,app.awarefy.awarefyapp.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,android.permission.USE_BIOMETRIC,com.android.vending.BILLING,android.permission.POST_NOTIFICATIONS,android.permission.USE_FULL_SCREEN_INTENT,android.permission.WAKE_LOCK,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.INTERNET,com.anddoes.launcher.permission.UPDATE_COUNT,app.awarefy.awarefyapp.permission.C2D_MESSAGE,com.htc.launcher.permission.READ_SETTINGS,me.everything.badger.permission.BADGE_COUNT_READ,com.huawei.android.launcher.permission.WRITE_SETTINGS,android.permission.FOREGROUND_SERVICE,me.everything.badger.permission.BADGE_COUNT_WRITE,com.oppo.launcher.permission.READ_SETTINGS,com.sonyericsson.home.permission.BROADCAST_BADGE,com.google.android.c2dm.permission.RECEIVE,com.sonymobile.home.permission.PROVIDER_INSERT_BADGE,com.oppo.launcher.permission.WRITE_SETTINGS,com.sec.android.provider.badge.permission.WRITE,com.huawei.android.launcher.permission.READ_SETTINGS,com.huawei.android.launcher.permission.CHANGE_BADGE,android.permission.USE_FINGERPRINT,android.permission.READ_APP_BADGE,com.htc.launcher.permission.UPDATE_SHORTCUT,com.sec.android.provider.badge.permission.READ,android.permission.SCHEDULE_EXACT_ALARM,android.permission.ACCESS_NETWORK_STATE,com.majeur.launcher.permission.UPDATE_BADGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B612 - いつもの毎日をもっと楽しく,com.linecorp.b612.android,写真,"500,000,000+",B612 AI Photo&Video Editor_12.1.25_Apkpure.apk,com.google.android.gms.permission.AD_ID,android.permission.ACCESS_COARSE_LOCATION,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.VIBRATE,com.android.vending.BILLING,android.permission.WAKE_LOCK,android.permission.READ_EXTERNAL_STORAGE,android.permission.INTERNET,android.permission.RECEIVE_BOOT_COMPLETED,com.android.vending.CHECK_LICENSE,android.permission.FOREGROUND_SERVICE,android.permission.ACCESS_MEDIA_LOCATION,android.permission.CAMERA,android.permission.RECORD_AUDIO,android.permission.GET_TASKS,com.google.android.c2dm.permission.RECEIVE,com.sonymobile.home.permission.PROVIDER_INSERT_BADGE,com.huawei.android.launcher.permission.CHANGE_BADGE,android.permission.FLASHLIGHT,android.permission.ACCESS_WIFI_STATE,android.permission.ACCESS_FINE_LOCATION,com.applovin.array.apphub.permission.BIND_APPHUB_SERVICE,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.ACCESS_NETWORK_STATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAND - グループのためのアプリ,com.nhn.android.band,ソーシャルネットワーク,"50,000,000+",BAND - App for all groups_11.2.0_Apkpure.apk,com.google.android.gms.permission.AD_ID,android.permission.READ_MEDIA_VIDEO,android.permission.ACCESS_COARSE_LOCATION,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.READ_PHONE_STATE,android.permission.VIBRATE,com.android.vending.BILLING,android.permission.POST_NOTIFICATIONS,android.permission.BLUETOOTH_CONNECT,android.permission.USE_FULL_SCREEN_INTENT,com.android.launcher.permission.INSTALL_SHORTCUT,android.permission.SYSTEM_ALERT_WINDOW,android.permission.WAKE_LOCK,com.nhn.android.band.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,android.permission.WRITE_CONTACTS,android.permission.BLUETOOTH,android.permission.INTERNET,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.READ_EXTERNAL_STORAGE,com.anddoes.launcher.permission.UPDATE_COUNT,com.htc.launcher.permission.READ_SETTINGS,me.everything.badger.permission.BADGE_COUNT_READ,android.permission.FOREGROUND_SERVICE,android.permission.READ_CONTACTS,android.permission.READ_MEDIA_AUDIO,com.huawei.android.launcher.permission.WRITE_SETTINGS,me.everything.badger.permission.BADGE_COUNT_WRITE,com.oppo.launcher.permission.READ_SETTINGS,android.permission.CAMERA,android.permission.RECORD_AUDIO,com.sonyericsson.home.permission.BROADCAST_BADGE,android.permission.MODIFY_AUDIO_SETTINGS,com.google.android.c2dm.permission.RECEIVE,com.sonymobile.home.permission.PROVIDER_INSERT_BADGE,com.oppo.launcher.permission.WRITE_SETTINGS,com.sec.android.provider.badge.permission.WRITE,com.huawei.android.launcher.permission.READ_SETTINGS,com.huawei.android.launcher.permission.CHANGE_BADGE,android.permission.ACCESS_BACKGROUND_LOCATION,android.permission.KILL_BACKGROUND_PROCESSES,android.permission.READ_APP_BADGE,com.htc.launcher.permission.UPDATE_SHORTCUT,com.sec.android.provider.badge.permission.READ,android.permission.ACCESS_WIFI_STATE,android.permission.READ_MEDIA_IMAGES,android.permission.ACCESS_FINE_LOCATION,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.ACCESS_NETWORK_STATE,com.majeur.launcher.permission.UPDATE_BADGE,android.permission.BLUETOOTH_ADMIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BBC News,bbc.mobile.news.ww,ニュース＆雑誌,"10,000,000+",BBC News_5.23.1_Apkpure.apk,com.google.android.gms.permission.AD_ID,android.permission.AUTHENTICATE_ACCOUNTS,android.permission.ACCESS_NETWORK_STATE,android.permission.WAKE_LOCK,android.permission.INTERNET,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.READ_SYNC_SETTINGS,com.google.android.c2dm.permission.RECEIVE,android.permission.ACCESS_WIFI_STATE,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.GET_ACCOUNTS,android.permission.VIBRATE,android.permission.WRITE_SYNC_SETTINGS,android.permission.FOREGROUND_SERVICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BBC Sounds: Radio & Podcasts,com.bbc.sounds,音楽＆オーディオ,"5,000,000+",BBC Sounds_ Radio & Podcasts_2.13.0.19989_Apkpure.apk,com.google.android.gms.permission.AD_ID,android.permission.WAKE_LOCK,android.permission.INTERNET,com.google.android.c2dm.permission.RECEIVE,android.permission.READ_EXTERNAL_STORAGE,android.permission.RECEIVE_BOOT_COMPLETED,com.amazon.device.messaging.permission.RECEIVE,android.permission.READ_PHONE_STATE,android.permission.ACCESS_WIFI_STATE,com.bbc.sounds.permission.RECEIVE_ADM_MESSAGE,android.permission.VIBRATE,com.bbc.sounds.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.POST_NOTIFICATIONS,android.permission.ACCESS_NETWORK_STATE,android.permission.FOREGROUND_SERVICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BBVA España | Banca Online,com.bbva.bbvacontigo,ファイナンス,"10,000,000+",Garanti BBVA Mobile_13.1_Apkpure.apk,com.garanti.cepsubesi.permission.PUSH_PROVIDER,com.garanti.cepsubesi.permission.PROCESS_PUSH_MSG,android.permission.ACCESS_COARSE_LOCATION,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.READ_PHONE_STATE,android.permission.GET_ACCOUNTS,android.permission.VIBRATE,android.permission.BLUETOOTH_SCAN,android.permission.BLUETOOTH_CONNECT,android.permission.WAKE_LOCK,android.permission.WRITE_SETTINGS,android.permission.INTERNET,android.permission.READ_EXTERNAL_STORAGE,android.permission.RECEIVE_BOOT_COMPLETED,com.htc.launcher.permission.READ_SETTINGS,com.garanti.provider.cepsifrematik.MODIFY,android.permission.FOREGROUND_SERVICE,android.permission.READ_CONTACTS,android.permission.CAMERA,com.google.android.providers.gsf.permission.READ_GSERVICES,android.permission.RECORD_AUDIO,com.sonyericsson.home.permission.BROADCAST_BADGE,com.google.android.c2dm.permission.RECEIVE,android.permission.MODIFY_AUDIO_SETTINGS,com.android.launcher.permission.WRITE_SETTINGS,com.sec.android.provider.badge.permission.WRITE,android.permission.FLASHLIGHT,android.permission.BLUETOOTH_ADVERTISE,com.htc.launcher.permission.UPDATE_SHORTCUT,com.igaranti.SharedStoragePermission,com.android.launcher.permission.READ_SETTINGS,android.permission.ACCESS_WIFI_STATE,com.sec.android.provider.badge.permission.READ,com.huawei.appmarket.service.commondata.permission.GET_COMMON_DATA,com.garanti.maps.permission.MAPS_RECEIVE,android.permission.ACCESS_FINE_LOCATION,android.permission.NFC,android.permission.CHANGE_WIFI_STATE,android.permission.CALL_PHONE,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.ACCESS_NETWORK_STATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
