App Name,App ID,Genre,Installs,APK_file_name,,Permission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+R RECIPE,jp.co.rinnai.apps.plusrrecipe,ライフスタイル,"10,000+",/mnt/c/users/ryutaro/downloads/jp.co.rinnai.apps.plusrrecipe.apk,android.permission.ACCESS_FINE_LOCATION,com.huawei.android.launcher.permission.CHANGE_BADGE,com.huawei.android.launcher.permission.READ_SETTINGS,android.permission.READ_APP_BADGE,com.majeur.launcher.permission.UPDATE_BADGE,android.permission.BLUETOOTH,android.permission.INTERNET,com.oppo.launcher.permission.WRITE_SETTINGS,android.permission.FOREGROUND_SERVICE,android.permission.BLUETOOTH_ADMIN,me.everything.badger.permission.BADGE_COUNT_WRITE,com.anddoes.launcher.permission.UPDATE_COUNT,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.BLUETOOTH_SCAN,com.google.android.c2dm.permission.RECEIVE,me.everything.badger.permission.BADGE_COUNT_READ,android.permission.WAKE_LOCK,com.huawei.android.launcher.permission.WRITE_SETTINGS,android.permission.ACCESS_COARSE_LOCATION,android.permission.VIBRATE,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.ACCESS_NETWORK_STATE,com.htc.launcher.permission.READ_SETTINGS,android.permission.RECEIVE_BOOT_COMPLETED,com.sonymobile.home.permission.PROVIDER_INSERT_BADGE,android.permission.POST_NOTIFICATIONS,android.permission.ACCESS_WIFI_STATE,android.permission.BLUETOOTH_ADVERTISE,com.sec.android.provider.badge.permission.READ,com.oppo.launcher.permission.READ_SETTINGS,com.google.android.gms.permission.AD_ID,android.permission.BLUETOOTH_CONNECT,com.android.vending.CHECK_LICENSE,com.htc.launcher.permission.UPDATE_SHORTCUT,com.sonyericsson.home.permission.BROADCAST_BADGE,android.permission.RECORD_AUDIO,android.permission.ACCESS_BACKGROUND_LOCATION,com.sec.android.provider.badge.permission.WRITE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.yell Live,com.yelllive.app,エンタメ,"10,000+",Poppo live_5.2.389.0615_Apkpure.apk,android.permission.DISABLE_KEYGUARD,com.huawei.android.launcher.permission.READ_SETTINGS,com.huawei.android.launcher.permission.CHANGE_BADGE,android.permission.READ_APP_BADGE,android.permission.READ_MEDIA_VIDEO,com.majeur.launcher.permission.UPDATE_BADGE,android.permission.READ_MEDIA_AUDIO,android.permission.CAMERA,android.permission.BLUETOOTH,android.permission.INTERNET,com.oppo.launcher.permission.WRITE_SETTINGS,android.permission.FOREGROUND_SERVICE,android.permission.KILL_BACKGROUND_PROCESSES,com.baitu.qingshu.permission.RONG_ACCESS_RECEIVER,me.everything.badger.permission.BADGE_COUNT_WRITE,com.anddoes.launcher.permission.UPDATE_COUNT,android.permission.WRITE_EXTERNAL_STORAGE,com.google.android.c2dm.permission.RECEIVE,me.everything.badger.permission.BADGE_COUNT_READ,android.permission.REORDER_TASKS,android.permission.WAKE_LOCK,com.huawei.android.launcher.permission.WRITE_SETTINGS,android.permission.CHANGE_NETWORK_STATE,android.permission.READ_LOGS,android.permission.VIBRATE,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.ACCESS_NETWORK_STATE,com.htc.launcher.permission.READ_SETTINGS,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.SYSTEM_ALERT_WINDOW,android.permission.READ_PHONE_NUMBERS,android.permission.POST_NOTIFICATIONS,com.sonymobile.home.permission.PROVIDER_INSERT_BADGE,android.permission.ACCESS_WIFI_STATE,com.sec.android.provider.badge.permission.READ,com.oppo.launcher.permission.READ_SETTINGS,android.permission.READ_PHONE_STATE,android.permission.MODIFY_AUDIO_SETTINGS,com.huawei.android.launcher.permission.CHANGE_BADGE ,android.permission.FLASHLIGHT,android.permission.REQUEST_IGNORE_BATTERY_OPTIMIZATIONS,android.permission.CHANGE_WIFI_STATE,android.permission.READ_EXTERNAL_STORAGE,com.google.android.gms.permission.AD_ID,com.android.vending.BILLING,android.permission.READ_MEDIA_IMAGES,android.permission.BROADCAST_STICKY,com.htc.launcher.permission.UPDATE_SHORTCUT,com.sonyericsson.home.permission.BROADCAST_BADGE,com.baitu.qingshu.permission.RECEIVE_MSG,android.permission.RECORD_AUDIO,android.permission.READ_PRIVILEGED_PHONE_STATE,com.sec.android.provider.badge.permission.WRITE,android.permission.LOCAL_MAC_ADDRESS,android.permission.SCHEDULE_EXACT_ALARM,,,,,,,,,,,,
1.1.1.1 + WARP: Safer Internet,com.cloudflare.onedotonedotonedotone,ツール,"100,000,000+",1.1.1.1 + WARP_ Safer Internet_6.27_Apkpure.apk,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.ACCESS_WIFI_STATE,android.permission.READ_EXTERNAL_STORAGE,com.google.android.c2dm.permission.RECEIVE,android.permission.WAKE_LOCK,android.permission.INTERNET,android.permission.ACCESS_COARSE_LOCATION,android.permission.FOREGROUND_SERVICE,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.ACCESS_NETWORK_STATE,android.permission.RECEIVE_BOOT_COMPLETED,com.android.vending.BILLING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17LIVE - ライブ配信 アプリでライブ配信を楽しもう！,com.machipopo.media17,ソーシャルネットワーク,"10,000,000+",17LIVE - Live streaming_2.155.2.0_Apkpure.apk,android.permission.DISABLE_KEYGUARD,android.permission.RECORD_VIDEO,android.permission.READ_MEDIA_VIDEO,android.permission.READ_MEDIA_AUDIO,android.permission.CAMERA,android.permission.BLUETOOTH,android.permission.INTERNET,android.permission.FOREGROUND_SERVICE,com.machipopo.media17.permission.C2D_MESSAGE,android.permission.WRITE_EXTERNAL_STORAGE,com.google.android.c2dm.permission.RECEIVE,android.permission.WAKE_LOCK,android.permission.CHANGE_NETWORK_STATE,android.permission.VIBRATE,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.ACCESS_NETWORK_STATE,android.permission.SYSTEM_ALERT_WINDOW,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.POST_NOTIFICATIONS,android.permission.ACCESS_WIFI_STATE,android.permission.MODIFY_AUDIO_SETTINGS,android.permission.GET_PACKAGE_SIZE,android.permission.DOWNLOAD_WITHOUT_NOTIFICATION,android.permission.FLASHLIGHT,com.machipopo.media17.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,android.permission.CHANGE_WIFI_STATE,android.permission.READ_EXTERNAL_STORAGE,com.google.android.gms.permission.AD_ID,com.android.vending.BILLING,android.permission.READ_MEDIA_IMAGES,android.permission.ACCESS_DOWNLOAD_MANAGER,android.permission.RECORD_AUDIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1Password - パスワードマネージャー,com.onepassword.android,仕事効率化,"500,000+",/mnt/c/users/ryutaro/downloads/com.onepassword.android.apk,android.permission.POST_NOTIFICATIONS,android.permission.USE_FINGERPRINT,com.google.android.c2dm.permission.RECEIVE,android.permission.WAKE_LOCK,android.permission.CAMERA,android.permission.USE_BIOMETRIC,android.permission.INTERNET,android.permission.QUERY_ALL_PACKAGES,android.permission.ACCESS_NETWORK_STATE,com.onepassword.android.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,com.android.vending.BILLING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 人ミニゲーム : チャレンジ,com.JindoBlu.TwoPlayerGamesChallenge,アーケード,"100,000,000+",2 Player games _ the Challenge_5.9.9_Apkpure.apk,android.permission.POST_NOTIFICATIONS,android.permission.ACCESS_WIFI_STATE,android.permission.WAKE_LOCK,android.permission.INTERNET,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.FOREGROUND_SERVICE,com.applovin.array.apphub.permission.BIND_APPHUB_SERVICE,com.google.android.gms.permission.AD_ID,android.permission.ACCESS_NETWORK_STATE,android.permission.RECEIVE_BOOT_COMPLETED,com.android.vending.BILLING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022最新版 パスワード管理は指紋認証のパスマネージャー,jp.boy.lab.passmanager,仕事効率化,"10,000+",/mnt/c/users/ryutaro/downloads/jp.boy.lab.passmanager.apk,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.ACCESS_NETWORK_STATE,android.permission.USE_FINGERPRINT,android.permission.WAKE_LOCK,android.permission.INTERNET,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.READ_EXTERNAL_STORAGE,android.permission.RECEIVE_BOOT_COMPLETED,com.android.vending.BILLING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023最新版 パスワード管理は指紋認証のパスマネージャー2,com.pass_manager,仕事効率化,500+,KawaiiWorld 2023_1.0_Apkpure.apk,com.android.vending.CHECK_LICENSE,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.GET_ACCOUNTS,android.permission.ACCESS_WIFI_STATE,com.google.android.c2dm.permission.RECEIVE,android.permission.READ_CONTACTS,android.permission.WAKE_LOCK,android.permission.INTERNET,android.permission.FOREGROUND_SERVICE,com.google.android.gms.permission.AD_ID,android.permission.VIBRATE,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.ACCESS_NETWORK_STATE,android.permission.RECEIVE_BOOT_COMPLETED,com.android.vending.BILLING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20世紀 - 択一的な歴史,com.oxiwyle.alternativehistory20tgcentury,頭脳系,"1,000,000+",/mnt/c/users/ryutaro/downloads/com.oxiwyle.alternativehistory20tgcentury.apk,com.android.vending.CHECK_LICENSE,android.permission.ACCESS_WIFI_STATE,android.permission.REORDER_TASKS,android.permission.READ_PHONE_STATE,android.permission.WAKE_LOCK,android.permission.INTERNET,android.permission.FOREGROUND_SERVICE,com.google.android.gms.permission.AD_ID,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.ACCESS_NETWORK_STATE,android.permission.RECEIVE_BOOT_COMPLETED,com.android.vending.BILLING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30日で痩せる - 自宅トレーニング・ダイエット・体重管理,loseweight.weightloss.workout.fitness,健康＆フィットネス,"100,000,000+",30 robux_9.4.2z_Apkpure.apk,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.ACCESS_WIFI_STATE,android.permission.ACCESS_FINE_LOCATION,android.permission.READ_EXTERNAL_STORAGE,com.google.android.c2dm.permission.RECEIVE,android.permission.WAKE_LOCK,android.permission.ACCESS_COARSE_LOCATION,android.permission.INTERNET,android.permission.FOREGROUND_SERVICE,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.VIBRATE,com.google.android.gms.permission.AD_ID,android.permission.ACCESS_NETWORK_STATE,android.permission.RECEIVE_BOOT_COMPLETED,com.android.vending.BILLING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
